Num_Acc;PriseEnCharge
202 000 000 081,00;3775,81
202 000 000 082,00;1800,83
202 000 000 083,00;2302,82
202 000 000 084,00;2107,3
202 000 000 085,00;2164,87
202 000 000 086,00;2822,66
202 000 000 087,00;3127,69
202 000 000 088,00;2404,7
202 000 000 089,00;2700,42
202 000 000 090,00;1591,4
202 000 000 091,00;2106,75
202 000 000 092,00;2985,59
202 000 000 093,00;2540,97
202 000 000 094,00;2085,25
202 000 000 095,00;2029,05
202 000 000 096,00;2803,18
202 000 000 097,00;1920,77
202 000 000 098,00;2920,34
202 000 000 099,00;2524,55
202 000 000 100,00;3039,39
202 000 000 101,00;2785,35
202 000 000 102,00;2473,62
202 000 000 103,00;2904,52
202 000 000 104,00;1609,97
202 000 000 105,00;2008,59
202 000 000 106,00;2446,86
202 000 000 107,00;3799,03
202 000 000 108,00;2348,6
202 000 000 109,00;2729,99
202 000 000 110,00;2969,09
202 000 000 111,00;2203,01
202 000 000 112,00;1945,02
202 000 000 113,00;3187,66
202 000 000 114,00;1599,21
202 000 000 115,00;2745,54
202 000 000 116,00;2591,52
202 000 000 117,00;2301,15
202 000 000 118,00;2023,79
202 000 000 119,00;2898,51
202 000 000 120,00;3508,84
202 000 000 121,00;2226,57
202 000 000 122,00;2563,21
202 000 000 123,00;1933,45
202 000 000 124,00;2228,76
202 000 000 125,00;1530,66
202 000 000 126,00;2541,36
202 000 000 127,00;3560,74
202 000 000 128,00;1806,76
202 000 000 129,00;2313,16
202 000 000 130,00;2966,79
202 000 000 131,00;1762,74
202 000 000 132,00;2788,21
202 000 000 133,00;2617
202 000 000 134,00;2012,31
202 000 000 135,00;2129,36
202 000 000 136,00;3169,12
202 000 000 137,00;1942,91
202 000 000 138,00;1269,44
202 000 000 139,00;2252,16
202 000 000 140,00;2608,95
202 000 000 141,00;2428,92
202 000 000 142,00;2730,48
202 000 000 143,00;2465,83
202 000 000 144,00;3476,22
202 000 000 145,00;2768,86
202 000 000 146,00;2389,73
202 000 000 147,00;2203,69
202 000 000 148,00;2787,34
202 000 000 149,00;2956,18
202 000 000 150,00;1475,78
202 000 000 151,00;2855,31
202 000 000 152,00;2776,18
202 000 000 153,00;2484,48
202 000 000 154,00;1560,54
202 000 000 155,00;1888,55
202 000 000 156,00;2041,33
202 000 000 157,00;2982,6
202 000 000 158,00;1837,86
202 000 000 159,00;1645,94
202 000 000 160,00;1362,38
202 000 000 161,00;2056,12
202 000 000 162,00;1395,96
202 000 000 163,00;2574,88
202 000 000 164,00;2291,23
202 000 000 165,00;1737,91
202 000 000 166,00;2605,1
202 000 000 167,00;1725,18
202 000 000 168,00;2383,37
202 000 000 169,00;2323,8
202 000 000 170,00;1644,27
202 000 000 171,00;3949,19
202 000 000 172,00;2512,61
202 000 000 173,00;2128,29
202 000 000 174,00;2319,78
202 000 000 175,00;2610,52
202 000 000 176,00;2809,82
202 000 000 177,00;2249,15
202 000 000 178,00;2206,77
202 000 000 179,00;2146,79
202 000 000 180,00;2518,04
202 000 000 181,00;1848,54
202 000 000 182,00;2242,31
202 000 000 183,00;1941,25
202 000 000 184,00;2638,12
202 000 000 185,00;3343,68
202 000 000 186,00;2564,35
202 000 000 187,00;2672,99
202 000 000 188,00;2216,74
202 000 000 189,00;2919,74
202 000 000 190,00;2435,6
202 000 000 191,00;1826,67
202 000 000 192,00;2459,54
202 000 000 193,00;2318,7
202 000 000 194,00;1792,39
202 000 000 195,00;2256,99
202 000 000 196,00;1743,84
202 000 000 197,00;2641,6
202 000 000 198,00;1458,9
202 000 000 199,00;3093,29
202 000 000 200,00;2806,09
202 000 000 201,00;2646,63
202 000 000 202,00;2525,8
202 000 000 203,00;2186,82
202 000 000 204,00;2475,88
202 000 000 205,00;3101,02
202 000 000 206,00;2774,38
202 000 000 207,00;2554,06
202 000 000 208,00;2803,19
202 000 000 209,00;1668,44
202 000 000 210,00;2293,25
202 000 000 211,00;2394,49
202 000 000 212,00;2911,11
202 000 000 213,00;2686,12
202 000 000 214,00;2931,26
202 000 000 215,00;1970,04
202 000 000 216,00;2788,36
202 000 000 217,00;2906,77
202 000 000 218,00;2466,23
202 000 000 219,00;2200,54
202 000 000 220,00;2706,9
202 000 000 221,00;3390,34
202 000 000 222,00;2284,04
202 000 000 223,00;2471,48
202 000 000 224,00;2716,14
202 000 000 225,00;3529,73
202 000 000 226,00;2270,19
202 000 000 227,00;2623,19
202 000 000 228,00;2663,45
202 000 000 229,00;2280,8
202 000 000 230,00;2850,35
202 000 000 231,00;2061,31
202 000 000 232,00;2236,11
202 000 000 233,00;1609,55
202 000 000 234,00;2552,95
202 000 000 235,00;1628,97
202 000 000 236,00;2627,07
202 000 000 237,00;3404,2
202 000 000 238,00;2047,68
202 000 000 239,00;1385,61
202 000 000 240,00;1925,22
202 000 000 241,00;1983,1
202 000 000 242,00;2190,13
202 000 000 243,00;2717,77
202 000 000 244,00;2317,35
202 000 000 245,00;2980,73
202 000 000 246,00;2033,65
202 000 000 247,00;1533,39
202 000 000 248,00;1723,33
202 000 000 249,00;1996,69
202 000 000 250,00;1811,57
202 000 000 251,00;2707,32
202 000 000 252,00;2439,36
202 000 000 253,00;3033,21
202 000 000 254,00;1945,85
202 000 000 255,00;2699,06
202 000 000 256,00;1669,63
202 000 000 257,00;1516,03
202 000 000 258,00;2250,78
202 000 000 259,00;2096,87
202 000 000 260,00;2518,33
202 000 000 261,00;1899,61
202 000 000 262,00;1494,29
202 000 000 263,00;1546,59
202 000 000 264,00;2202,29
202 000 000 265,00;2289,52
202 000 000 266,00;2556,34
202 000 000 267,00;1217,46
202 000 000 268,00;1672,73
202 000 000 269,00;2879,14
202 000 000 270,00;3169,81
202 000 000 271,00;2029,37
202 000 000 272,00;2124,03
202 000 000 273,00;2197,83
202 000 000 274,00;2792,44
202 000 000 275,00;2243,48
202 000 000 276,00;3197,72
202 000 000 277,00;1958,68
202 000 000 278,00;2315,59
202 000 000 279,00;1734,25
202 000 000 280,00;1702,62
202 000 000 281,00;1816,89
202 000 000 282,00;2235,81
202 000 000 283,00;2350,1
202 000 000 284,00;3262,71
202 000 000 285,00;2625,08
202 000 000 286,00;2350,2
202 000 000 287,00;3090,81
202 000 000 288,00;2559,87
202 000 000 289,00;2615,59
202 000 000 290,00;1365,76
202 000 000 291,00;2954,72
202 000 000 292,00;2320
202 000 000 293,00;1524,78
202 000 000 294,00;1466,07
202 000 000 295,00;3030,05
202 000 000 296,00;3373,51
202 000 000 297,00;2691,68
202 000 000 298,00;2533,61
202 000 000 299,00;2179,16
202 000 000 300,00;2058,14
202 000 000 301,00;2162,64
202 000 000 302,00;2198,94
202 000 000 303,00;3211,92
202 000 000 304,00;2962,65
202 000 000 305,00;2041,11
202 000 000 306,00;2179,22
202 000 000 307,00;2107,52
202 000 000 308,00;3271,42
202 000 000 309,00;2423,81
202 000 000 310,00;2628,21
202 000 000 311,00;1377,91
202 000 000 312,00;2159,51
202 000 000 313,00;2875,49
202 000 000 314,00;2247,95
202 000 000 315,00;1967,25
202 000 000 316,00;1954,19
202 000 000 317,00;2490,77
202 000 000 318,00;2256,66
202 000 000 319,00;2509,17
202 000 000 320,00;2205,86
202 000 000 321,00;2499,31
202 000 000 322,00;2407,18
202 000 000 323,00;1681,5
202 000 000 324,00;2945,74
202 000 000 325,00;2828,68
202 000 000 326,00;3067,03
202 000 000 327,00;2690,79
202 000 000 328,00;2169,27
202 000 000 329,00;2012,52
202 000 000 330,00;3701,27
202 000 000 331,00;2598,88
202 000 000 332,00;2579,54
202 000 000 333,00;2897,03
202 000 000 334,00;3398,3
202 000 000 335,00;2609,43
202 000 000 336,00;2817,08
202 000 000 337,00;2236,96
202 000 000 338,00;1964,57
202 000 000 339,00;1489,5
202 000 000 340,00;2582,6
202 000 000 341,00;2495,28
202 000 000 342,00;3113,28
202 000 000 343,00;2903,21
202 000 000 344,00;3429,03
202 000 000 345,00;2663,02
202 000 000 346,00;2831,57
202 000 000 347,00;2686,37
202 000 000 348,00;2197,17
202 000 000 349,00;2125,7
202 000 000 350,00;1928,26
202 000 000 351,00;1801,56
202 000 000 352,00;2689,82
202 000 000 353,00;3083,27
202 000 000 354,00;2401,04
202 000 000 355,00;3746,55
202 000 000 356,00;3169,72
202 000 000 357,00;1981,09
202 000 000 358,00;1942,61
202 000 000 359,00;3144,59
202 000 000 360,00;1664,39
202 000 000 361,00;1600,62
202 000 000 362,00;1616,91
202 000 000 363,00;1558,89
202 000 000 364,00;1921,43
202 000 000 365,00;2015,78
202 000 000 366,00;2939,49
202 000 000 367,00;2706,32
202 000 000 368,00;1862,03
202 000 000 369,00;1820,98
202 000 000 370,00;2444,71
202 000 000 371,00;3085,44
202 000 000 372,00;2025,47
202 000 000 373,00;3080,38
202 000 000 374,00;2177,62
202 000 000 375,00;3131,53
202 000 000 376,00;2010,9
202 000 000 377,00;1631,1
202 000 000 378,00;2288,81
202 000 000 379,00;2637,84
202 000 000 380,00;1484,61
202 000 000 381,00;2249,51
202 000 000 382,00;1588,85
202 000 000 383,00;1746,74
202 000 000 384,00;1881,33
202 000 000 385,00;1953,42
202 000 000 386,00;2710,41
202 000 000 387,00;2420,33
202 000 000 388,00;1725,01
202 000 000 389,00;1679,5
202 000 000 390,00;2618,42
202 000 000 391,00;2670,42
202 000 000 392,00;1767,8
202 000 000 393,00;1660,34
202 000 000 394,00;2539,23
202 000 000 395,00;2345,45
202 000 000 396,00;2498,19
202 000 000 397,00;2433,98
202 000 000 398,00;2925,08
202 000 000 399,00;2764,98
202 000 000 400,00;2664,84
202 000 000 401,00;2441,41
202 000 000 402,00;2006,81
202 000 000 403,00;1794,75
202 000 000 404,00;2873,82
202 000 000 405,00;2228,37
202 000 000 406,00;1963,93
202 000 000 407,00;1837,93
202 000 000 408,00;1914,8
202 000 000 409,00;2731,69
202 000 000 410,00;2146,3
202 000 000 411,00;1876,97
202 000 000 412,00;2371,85
202 000 000 413,00;2104,34
202 000 000 414,00;3223,65
202 000 000 415,00;2080,53
202 000 000 416,00;2720,84
202 000 000 417,00;1306,91
202 000 000 418,00;2577,97
202 000 000 419,00;2823,76
202 000 000 420,00;2166,12
202 000 000 421,00;2563,15
202 000 000 422,00;1655,51
202 000 000 423,00;1403,53
202 000 000 424,00;2416,64
202 000 000 425,00;2544,76
202 000 000 426,00;1639,19
202 000 000 427,00;1952
202 000 000 428,00;2581,16
202 000 000 429,00;2577,12
202 000 000 430,00;2436,04
202 000 000 431,00;2312,18
202 000 000 432,00;2956,38
202 000 000 433,00;2749,12
202 000 000 434,00;2617,75
202 000 000 435,00;2936,67
202 000 000 436,00;2702,52
202 000 000 437,00;2662,32
202 000 000 438,00;2217,33
202 000 000 439,00;1659,39
202 000 000 440,00;1390,02
202 000 000 441,00;3753,14
202 000 000 442,00;2635,22
202 000 000 443,00;3458,66
202 000 000 444,00;2889,3
202 000 000 445,00;2604,76
202 000 000 446,00;1865,98
202 000 000 447,00;1954,54
202 000 000 448,00;2078,33
202 000 000 449,00;2183,41
202 000 000 450,00;3120,88
202 000 000 451,00;2431,29
202 000 000 452,00;2367,28
202 000 000 453,00;2537,51
202 000 000 454,00;4093,58
202 000 000 455,00;2451,43
202 000 000 456,00;1812,97
202 000 000 457,00;2655,72
202 000 000 458,00;2661,33
202 000 000 459,00;3038,11
202 000 000 460,00;2302,31
202 000 000 461,00;2274,74
202 000 000 462,00;3189,4
202 000 000 463,00;2288,74
202 000 000 464,00;2340,32
202 000 000 465,00;2779,74
202 000 000 466,00;2403,92
202 000 000 467,00;2113,87
202 000 000 468,00;3150,36
202 000 000 469,00;2769,78
202 000 000 470,00;2894,55
202 000 000 471,00;1353,89
202 000 000 472,00;1765,25
202 000 000 473,00;2082,47
202 000 000 474,00;2579,72
202 000 000 475,00;1889,32
202 000 000 476,00;2218,57
202 000 000 477,00;3504,05
202 000 000 478,00;1950,5
202 000 000 479,00;2597,56
202 000 000 480,00;2046,91
202 000 000 481,00;1285,75
202 000 000 482,00;3030,12
202 000 000 483,00;2124,15
202 000 000 484,00;1720,1
202 000 000 485,00;2204,49
202 000 000 486,00;2781,16
202 000 000 487,00;2425,11
202 000 000 488,00;2210,02
202 000 000 489,00;3047,1
202 000 000 490,00;3143,8
202 000 000 491,00;2679,38
202 000 000 492,00;2541,21
202 000 000 493,00;2348,72
202 000 000 494,00;3355,13
202 000 000 495,00;2728,11
202 000 000 496,00;2332,51
202 000 000 497,00;1945,74
202 000 000 498,00;2254,42
202 000 000 499,00;1639,04
202 000 000 500,00;2478,06
202 000 000 501,00;2628,86
202 000 000 502,00;3899,25
202 000 000 503,00;2229,52
202 000 000 504,00;2872,76
202 000 000 505,00;2327,39
202 000 000 506,00;1758,86
202 000 000 507,00;2220,13
202 000 000 508,00;2832,25
202 000 000 509,00;2819,18
202 000 000 510,00;2902,55
202 000 000 511,00;2967
202 000 000 512,00;2897,15
202 000 000 513,00;3039,83
202 000 000 514,00;2374,1
202 000 000 515,00;2994,81
202 000 000 516,00;3177,38
202 000 000 517,00;1899,48
202 000 000 518,00;2113,83
202 000 000 519,00;2452,89
202 000 000 520,00;2269,39
202 000 000 521,00;2764,69
202 000 000 522,00;2074,83
202 000 000 523,00;2457,17
202 000 000 524,00;2251,05
202 000 000 525,00;3174,16
202 000 000 526,00;2144,84
202 000 000 527,00;2179,66
202 000 000 528,00;2559,76
202 000 000 529,00;1975,42
202 000 000 530,00;2348,82
202 000 000 531,00;2320,36
202 000 000 532,00;2534,39
202 000 000 533,00;2308,85
202 000 000 534,00;2146,81
202 000 000 535,00;2643,12
202 000 000 536,00;2046,09
202 000 000 537,00;2747,82
202 000 000 538,00;2353,92
202 000 000 539,00;2172,26
202 000 000 540,00;1705,63
202 000 000 541,00;2730,6
202 000 000 542,00;3916,53
202 000 000 543,00;2615,75
202 000 000 544,00;1800,01
202 000 000 545,00;2983,94
202 000 000 546,00;2719,04
202 000 000 547,00;2186,87
202 000 000 548,00;2631,09
202 000 000 549,00;1937,17
202 000 000 550,00;3429,75
202 000 000 551,00;2461,87
202 000 000 552,00;2978,32
202 000 000 553,00;2036,44
202 000 000 554,00;1898,54
202 000 000 555,00;1182,07
202 000 000 556,00;2973,3
202 000 000 557,00;2037,57
202 000 000 558,00;1921,57
202 000 000 559,00;1798,84
202 000 000 560,00;1864,05
202 000 000 561,00;1884,54
202 000 000 562,00;2016,6
202 000 000 563,00;2126,24
202 000 000 564,00;1740,21
202 000 000 565,00;2389,89
202 000 000 566,00;2105,41
202 000 000 567,00;1406,96
202 000 000 568,00;1934,53
202 000 000 569,00;2352,68
202 000 000 570,00;2342,47
202 000 000 571,00;2727,72
202 000 000 572,00;1391,89
202 000 000 573,00;1838,82
202 000 000 574,00;2018,45
202 000 000 575,00;1924,41
202 000 000 576,00;1762,61
202 000 000 577,00;2456,47
202 000 000 578,00;1796,58
202 000 000 579,00;2189,11
202 000 000 580,00;2821,61
202 000 000 581,00;2812,37
202 000 000 582,00;2071,5
202 000 000 583,00;2954,4
202 000 000 584,00;3402,56
202 000 000 585,00;2907,89
202 000 000 586,00;1889,25
202 000 000 587,00;2518,58
202 000 000 588,00;2270,18
202 000 000 589,00;2298,37
202 000 000 590,00;4117,17
202 000 000 591,00;2524,06
202 000 000 592,00;3165,36
202 000 000 593,00;1932,63
202 000 000 594,00;4177,17
202 000 000 595,00;1668,53
202 000 000 596,00;2311,45
202 000 000 597,00;2873,29
202 000 000 598,00;1996,92
202 000 000 599,00;2600,89
202 000 000 600,00;3231,16
202 000 000 601,00;1896,75
202 000 000 602,00;2824,02
202 000 000 603,00;3111,02
202 000 000 604,00;2826,42
202 000 000 605,00;2160,17
202 000 000 606,00;2814,96
202 000 000 607,00;2137,98
202 000 000 608,00;2011,29
202 000 000 609,00;1275,89
202 000 000 610,00;3436,39
202 000 000 611,00;2796,13
202 000 000 612,00;2945,78
202 000 000 613,00;2894,72
202 000 000 614,00;1611,11
202 000 000 615,00;2048,56
202 000 000 616,00;1996,35
202 000 000 617,00;3242,95
202 000 000 618,00;2240,7
202 000 000 619,00;1985,82
202 000 000 620,00;1629,83
202 000 000 621,00;1586,99
202 000 000 622,00;2865,18
202 000 000 623,00;2714,7
202 000 000 624,00;2398,09
202 000 000 625,00;2240,34
202 000 000 626,00;1956,28
202 000 000 627,00;1842,34
202 000 000 628,00;2653,92
202 000 000 629,00;2447,65
202 000 000 630,00;2113,85
202 000 000 631,00;2184,56
202 000 000 632,00;2033,71
202 000 000 633,00;2335,37
202 000 000 634,00;1950,78
202 000 000 635,00;1973,94
202 000 000 636,00;2163,17
202 000 000 637,00;2466,47
202 000 000 638,00;4139,9
202 000 000 639,00;3044,96
202 000 000 640,00;2798,24
202 000 000 641,00;2784,3
202 000 000 642,00;2102,02
202 000 000 643,00;2052,06
202 000 000 644,00;3227,25
202 000 000 645,00;1989,75
202 000 000 646,00;2620,66
202 000 000 647,00;2126,78
202 000 000 648,00;2464,9
202 000 000 649,00;2356,08
202 000 000 650,00;3526,51
202 000 000 651,00;2980,46
202 000 000 652,00;3519,3
202 000 000 653,00;2039,97
202 000 000 654,00;1824,35
202 000 000 655,00;2543,26
202 000 000 656,00;1773,55
202 000 000 657,00;3424,83
202 000 000 658,00;2514,58
202 000 000 659,00;3128,6
202 000 000 660,00;3282,9
202 000 000 661,00;1762,47
202 000 000 662,00;1807,26
202 000 000 663,00;2130,82
202 000 000 664,00;2473
202 000 000 665,00;2530,62
202 000 000 666,00;2869,53
202 000 000 667,00;2449,46
202 000 000 668,00;2495,89
202 000 000 669,00;2454,78
202 000 000 670,00;2800,34
202 000 000 671,00;2605,24
202 000 000 672,00;2460,26
202 000 000 673,00;2068,67
202 000 000 674,00;2858,56
202 000 000 675,00;2501,93
202 000 000 676,00;2692,21
202 000 000 677,00;2027,01
202 000 000 678,00;3050,2
202 000 000 679,00;1871,29
202 000 000 680,00;1617,82
202 000 000 681,00;2705,77
202 000 000 682,00;2043,52
202 000 000 683,00;2779,59
202 000 000 684,00;3058,48
202 000 000 685,00;1793,48
202 000 000 686,00;2084,17
202 000 000 687,00;2483,41
202 000 000 688,00;2249,54
202 000 000 689,00;2504,18
202 000 000 690,00;1839,67
202 000 000 691,00;2170,16
202 000 000 692,00;2168,9
202 000 000 693,00;2851,73
202 000 000 694,00;2310,27
202 000 000 695,00;2166,16
202 000 000 696,00;2043,51
202 000 000 697,00;2726,31
202 000 000 698,00;2489,34
202 000 000 699,00;2258,69
202 000 000 700,00;1601,7
202 000 000 701,00;2329,39
202 000 000 702,00;2226,83
202 000 000 703,00;2885,66
202 000 000 704,00;2015,31
202 000 000 705,00;2576,46
202 000 000 706,00;3372,62
202 000 000 707,00;2044,91
202 000 000 708,00;2600,03
202 000 000 709,00;2450,62
202 000 000 710,00;2454,59
202 000 000 711,00;2063,86
202 000 000 712,00;2259,56
202 000 000 713,00;1913,54
202 000 000 714,00;2541,16
202 000 000 715,00;1831,34
202 000 000 716,00;2408,88
202 000 000 717,00;1998,56
202 000 000 718,00;2038,4
202 000 000 719,00;2840,39
202 000 000 720,00;2552,51
202 000 000 721,00;2615,02
202 000 000 722,00;3168,39
202 000 000 723,00;2448,78
202 000 000 724,00;2893,09
202 000 000 725,00;2661,95
202 000 000 726,00;3682,09
202 000 000 727,00;2534,4
202 000 000 728,00;1686,58
202 000 000 729,00;3172,03
202 000 000 730,00;2643,84
202 000 000 731,00;2580,67
202 000 000 732,00;3283,57
202 000 000 733,00;1995,89
202 000 000 734,00;2340,73
202 000 000 735,00;2024,21
202 000 000 736,00;2891,25
202 000 000 737,00;2086,61
202 000 000 738,00;2203,25
202 000 000 739,00;2891,61
202 000 000 740,00;1353,15
202 000 000 741,00;2697,85
202 000 000 742,00;2110,55
202 000 000 743,00;2453,49
202 000 000 744,00;2421,03
202 000 000 745,00;2434,1
202 000 000 746,00;2447,55
202 000 000 747,00;1558,23
202 000 000 748,00;2222,2
202 000 000 749,00;1300,09
202 000 000 750,00;1884,36
202 000 000 751,00;2906,47
202 000 000 752,00;2409,59
202 000 000 753,00;1714,43
202 000 000 754,00;1972,77
202 000 000 755,00;1313,75
202 000 000 756,00;2215,68
202 000 000 757,00;2622,65
202 000 000 758,00;2919,86
202 000 000 759,00;2485,86
202 000 000 760,00;2561,11
202 000 000 761,00;2401,4
202 000 000 762,00;2160,91
202 000 000 763,00;2354
202 000 000 764,00;2228,62
202 000 000 765,00;2743,27
202 000 000 766,00;2218,46
202 000 000 767,00;2470,91
202 000 000 768,00;3192,67
202 000 000 769,00;3284,76
202 000 000 770,00;3034,18
202 000 000 771,00;2204,61
202 000 000 772,00;2884,44
202 000 000 773,00;2831,57
202 000 000 774,00;3178,69
202 000 000 775,00;2061,89
202 000 000 776,00;2051,62
202 000 000 777,00;2458,21
202 000 000 778,00;2935,8
202 000 000 779,00;3314,47
202 000 000 780,00;2281,66
202 000 000 781,00;2431,23
202 000 000 782,00;2895,56
202 000 000 783,00;1985,91
202 000 000 784,00;2965,3
202 000 000 785,00;2113,5
202 000 000 786,00;2731,5
202 000 000 787,00;1928,11
202 000 000 788,00;2176,28
202 000 000 789,00;3715,09
202 000 000 790,00;2260,08
202 000 000 791,00;2595,75
202 000 000 792,00;2026,78
202 000 000 793,00;2846,51
202 000 000 794,00;2140,31
202 000 000 795,00;2433,27
202 000 000 796,00;2931,16
202 000 000 797,00;3562,93
202 000 000 798,00;2142,97
202 000 000 799,00;2377,17
202 000 000 800,00;1889,64
202 000 000 801,00;3449,83
202 000 000 802,00;2007,72
202 000 000 803,00;2960,26
202 000 000 804,00;2499,54
202 000 000 805,00;2742,24
202 000 000 806,00;2126,1
202 000 000 807,00;2662,98
202 000 000 808,00;2922,44
202 000 000 809,00;3151,13
202 000 000 810,00;2361,36
202 000 000 811,00;2426,92
202 000 000 812,00;2112,66
202 000 000 813,00;3540,11
202 000 000 814,00;2596,86
202 000 000 815,00;2805,94
202 000 000 816,00;2810,73
202 000 000 817,00;2298,28
202 000 000 818,00;3593,56
202 000 000 819,00;2550,38
202 000 000 820,00;3171,62
202 000 000 821,00;2391,48
202 000 000 822,00;2977,44
202 000 000 823,00;3365,62
202 000 000 824,00;2451,95
202 000 000 825,00;3103,39
202 000 000 826,00;3019,21
202 000 000 827,00;1874,02
202 000 000 828,00;2018,39
202 000 000 829,00;2853,61
202 000 000 830,00;2451,05
202 000 000 831,00;2077,42
202 000 000 832,00;2717,53
202 000 000 833,00;3218,89
202 000 000 834,00;1881,69
202 000 000 835,00;2237,67
202 000 000 836,00;1858,65
202 000 000 837,00;1786,42
202 000 000 838,00;2709,64
202 000 000 839,00;4188,98
202 000 000 840,00;1343,17
202 000 000 841,00;1708,6
202 000 000 842,00;1976,45
202 000 000 843,00;1795,4
202 000 000 844,00;1889,32
202 000 000 845,00;2777,22
202 000 000 846,00;2232,29
202 000 000 847,00;1480,05
202 000 000 848,00;1811,44
202 000 000 849,00;2968,93
202 000 000 850,00;3453,74
202 000 000 851,00;2541,01
202 000 000 852,00;2143,27
202 000 000 853,00;3694,06
202 000 000 854,00;3189,01
202 000 000 855,00;1980,39
202 000 000 856,00;3187,22
202 000 000 857,00;2369,28
202 000 000 858,00;2845,75
202 000 000 859,00;3023,56
202 000 000 860,00;2480,81
202 000 000 861,00;2509,6
202 000 000 862,00;3606,36
202 000 000 863,00;2386,98
202 000 000 864,00;1421,62
202 000 000 865,00;2411,85
202 000 000 866,00;2619,78
202 000 000 867,00;1523,75
202 000 000 868,00;2308,19
202 000 000 869,00;2405,71
202 000 000 870,00;1947,13
202 000 000 871,00;2067,66
202 000 000 872,00;1926,26
202 000 000 873,00;2338,64
202 000 000 874,00;3494,59
202 000 000 875,00;3416,41
202 000 000 876,00;2796,1
202 000 000 877,00;1865,28
202 000 000 878,00;2649,76
202 000 000 879,00;3077,6
202 000 000 880,00;2333,66
202 000 000 881,00;4034,59
202 000 000 882,00;2288,02
202 000 000 883,00;2701,37
202 000 000 884,00;2750,98
202 000 000 885,00;2668,03
202 000 000 886,00;1470,72
202 000 000 887,00;2634,9
202 000 000 888,00;2364,24
202 000 000 889,00;1807,82
202 000 000 890,00;3209,26
202 000 000 891,00;2414,58
202 000 000 892,00;2885
202 000 000 893,00;3060,19
202 000 000 894,00;2489,78
202 000 000 895,00;1681,28
202 000 000 896,00;2817,12
202 000 000 897,00;3201,94
202 000 000 898,00;2993,35
202 000 000 899,00;2800,13
202 000 000 900,00;2541,32
202 000 000 901,00;2132,99
202 000 000 902,00;2896,28
202 000 000 903,00;2716,82
202 000 000 904,00;1305,3
202 000 000 905,00;1973,87
202 000 000 906,00;2706,74
202 000 000 907,00;2846,66
202 000 000 908,00;2209,93
202 000 000 909,00;2548,08
202 000 000 910,00;2475,16
202 000 000 911,00;2495,24
202 000 000 912,00;2593,63
202 000 000 913,00;2788,99
202 000 000 914,00;2432,29
202 000 000 915,00;3083,75
202 000 000 916,00;2330,83
202 000 000 917,00;2257,46
202 000 000 918,00;2736,79
202 000 000 919,00;2298,12
202 000 000 920,00;2919,26
202 000 000 921,00;1797,08
202 000 000 922,00;2075,8
202 000 000 923,00;2541,83
202 000 000 924,00;2961,06
202 000 000 925,00;1953,69
202 000 000 926,00;2716,42
202 000 000 927,00;3390,74
202 000 000 928,00;2060,08
202 000 000 929,00;2670,68
202 000 000 930,00;2482,31
202 000 000 931,00;2336,68
202 000 000 932,00;2820,26
